Date;Close price
2023-08-29;87.97833251953125
2023-08-30;86.47833251953125
2023-08-31;88.1816635131836
2023-09-01;88.79166412353516
2023-09-05;87.35333251953125
2023-09-06;87.63666534423828
2023-09-07;87.28500366210938
2023-09-08;87.87333679199219
2023-09-11;89.54166412353516
2023-09-12;90.12000274658203
2023-09-13;88.98833465576172
2023-09-14;89.48500061035156
2023-09-15;87.14666748046875
2023-09-18;87.70999908447266
2023-09-19;88.58000183105469
2023-09-20;87.27999877929688
2023-09-21;84.19667053222656
2023-09-22;85.09500122070312
2023-09-25;85.26667022705078
2023-09-26;83.711669921875
2023-09-27;83.59500122070312
2023-09-28;84.61166381835938
2023-09-29;85.6816635131836
2023-10-02;86.25833129882812
2023-10-03;84.6866683959961
2023-10-04;85.14666748046875
2023-10-05;82.75833129882812
2023-10-06;82.51333618164062
2023-10-09;83.25499725341797
2023-10-10;84.75833129882812
2023-10-11;84.84500122070312
2023-10-12;82.89666748046875
2023-10-13;82.07167053222656
2023-10-16;83.54000091552734
2023-10-17;86.48500061035156
2023-10-18;85.32666778564453
2023-10-19;84.8133316040039
2023-10-20;82.9316635131836
2023-10-23;82.40833282470703
2023-10-24;82.68333435058594
2023-10-25;82.06666564941406
2023-10-26;80.76333618164062
2023-10-27;96.0616683959961
2023-10-30;97.42666625976562
2023-10-31;99.51000213623047
2023-11-01;98.99666595458984
2023-11-02;100.16500091552734
2023-11-03;99.51667022705078
2023-11-06;102.14833068847656
2023-11-07;104.8566665649414
2023-11-08;104.53666687011719
2023-11-09;104.92500305175781
2023-11-10;105.4566650390625
2023-11-13;104.73666381835938
2023-11-14;105.02833557128906
2023-11-15;105.38833618164062
2023-11-16;102.57666778564453
2023-11-17;103.4183349609375
2023-11-20;104.913330078125
2023-11-21;105.6933364868164
2023-11-22;105.41666412353516
2023-11-24;106.17832946777344
2023-11-27;109.4366683959961
2023-11-28;108.61333465576172
2023-11-29;109.16500091552734
2023-11-30;110.66166687011719
2023-12-01;114.17666625976562
2023-12-04;115.63500213623047
2023-12-05;115.06666564941406
2023-12-06;114.62166595458984
2023-12-07;115.73666381835938
2023-12-08;115.89666748046875
2023-12-11;116.30999755859375
2023-12-12;117.62666320800781
2023-12-13;119.87833404541016
2023-12-14;116.3066635131836
2023-12-15;117.13500213623047
2023-12-18;117.78666687011719
2023-12-19;119.15499877929688
2023-12-20;116.79833221435547
2023-12-21;117.3550033569336
2023-12-22;115.61499786376953
2023-12-26;114.663330078125
2023-12-27;114.62666320800781
2023-12-28;112.586669921875
2023-12-29;111.40499877929688
2024-01-02;112.33000183105469
2024-01-03;113.0566635131836
2024-01-04;112.03666687011719
2024-01-05;108.71499633789062
2024-01-08;114.12333679199219
2024-01-09;116.15333557128906
2024-01-10;115.98500061035156
2024-01-11;117.28333282470703
2024-01-12;117.77999877929688
2024-01-16;120.29666900634766
2024-01-17;120.74833679199219
2024-01-18;122.78500366210938
2024-01-19;124.875
2024-01-22;127.94999694824219
2024-01-23;125.69166564941406
2024-01-24;125.10333251953125
2024-01-25;126.83499908447266
2024-01-26;127.96499633789062
2024-01-29;129.1266632080078
2024-01-30;128.92333984375
2024-01-31;125.62166595458984
2024-02-01;128.80833435058594
2024-02-02;147.00999450683594
2024-02-05;141.90167236328125
2024-02-06;137.55833435058594
2024-02-07;138.88833618164062
2024-02-08;138.73666381835938
2024-02-09;140.8699951171875
2024-02-12;140.77833557128906
2024-02-13;139.44500732421875
2024-02-14;141.35000610351562
2024-02-15;145.12832641601562
2024-02-16;143.8300018310547
2024-02-20;143.44667053222656
2024-02-21;143.61000061035156
2024-02-22;147.3433380126953
2024-02-23;146.74667358398438
2024-02-26;144.9116668701172
2024-02-27;145.23333740234375
2024-02-28;147.07000732421875
2024-02-29;149.26499938964844
2024-03-01;150.54833984375
2024-03-04;154.42999267578125
2024-03-05;151.14332580566406
2024-03-06;151.9983367919922
2024-03-07;152.14500427246094
2024-03-08;152.03334045410156
2024-03-11;150.27667236328125
2024-03-12;152.50833129882812
2024-03-13;154.61000061035156
2024-03-14;155.50833129882812
2024-03-15;151.63333129882812
2024-03-18;151.47666931152344
2024-03-19;151.47666931152344
2024-03-20;152.52999877929688
2024-03-21;158.82333374023438
2024-03-22;153.74000549316406
2024-03-25;155.43167114257812
2024-03-26;156.24166870117188
2024-03-27;156.31666564941406
2024-03-28;156.8766632080078
2024-04-01;155.0833282470703
2024-04-02;150.5500030517578
2024-04-03;150.1199951171875
2024-04-04;146.30332946777344
2024-04-05;146.64833068847656
2024-04-08;148.13999938964844
2024-04-09;144.63499450683594
2024-04-10;135.02166748046875
2024-04-11;136.65499877929688
2024-04-12;135.72833251953125
2024-04-15;135.89666748046875
2024-04-16;135.64833068847656
2024-04-17;136.53334045410156
2024-04-18;135.5500030517578
2024-04-19;133.39666748046875
2024-04-22;135.0366668701172
2024-04-23;138.2383270263672
2024-04-24;141.95166015625
2024-04-25;134.4166717529297
2024-04-26;138.91000366210938
2024-04-29;138.7383270263672
2024-04-30;136.4116668701172
2024-05-01;136.5800018310547
2024-05-02;138.77166748046875
2024-05-03;140.38999938964844
2024-05-06;143.64166259765625
2024-05-07;143.72999572753906
2024-05-08;142.24667358398438
2024-05-09;145.75833129882812
2024-05-10;143.6649932861328
2024-05-13;141.77833557128906
2024-05-14;147.0749969482422
2024-05-15;150.6133270263672
2024-05-16;147.60333251953125
2024-05-17;148.0933380126953
2024-05-20;150.47500610351562
2024-05-21;149.9566650390625
2024-05-22;148.82333374023438
2024-05-23;150.77499389648438
2024-05-24;172.14999389648438
2024-05-28;179.85667419433594
2024-05-29;177.48666381835938
2024-05-30;180.42999267578125
2024-05-31;182.32000732421875
2024-06-03;181.09500122070312
2024-06-04;177.80499267578125
2024-06-05;182.2100067138672
2024-06-06;177.57167053222656
2024-06-07;174.05166625976562
2024-06-10;175.8249969482422
2024-06-11;173.72166442871094
2024-06-12;173.25332641601562
2024-06-13;171.69332885742188
2024-06-14;170.625
2024-06-17;169.5816650390625
2024-06-18;168.06500244140625
2024-06-20;164.9066619873047
2024-06-21;163.35667419433594
2024-06-24;163.01333618164062
2024-06-25;162.55332946777344
2024-06-26;163.5433349609375
2024-06-27;166.65167236328125
2024-06-28;161.3249969482422
2024-07-01;157.71665954589844
2024-07-02;156.77333068847656
2024-07-03;155.94833374023438
2024-07-05;156.55332946777344
2024-07-08;158.78334045410156
2024-07-09;156.50833129882812
2024-07-10;148.89500427246094
2024-07-11;148.10667419433594
2024-07-12;149.67666625976562
2024-07-15;149.92999267578125
2024-07-16;152.14500427246094
2024-07-17;148.27000427246094
2024-07-18;147.80999755859375
2024-07-19;145.2066650390625
2024-07-22;147.31832885742188
2024-07-23;147.07167053222656
2024-07-24;141.0066680908203
2024-07-25;140.25
2024-07-26;149.11666870117188
2024-07-29;153.5366668701172
2024-07-30;151.87167358398438
2024-07-31;153.77166748046875
2024-08-01;151.03500366210938
2024-08-02;144.22166442871094
2024-08-05;141.74667358398438
2024-08-06;144.86666870117188
2024-08-07;140.54666137695312
2024-08-08;147.32167053222656
2024-08-09;148.375
2024-08-12;153.0500030517578
2024-08-13;157.3866729736328
2024-08-14;153.22833251953125
2024-08-15;157.9250030517578
2024-08-16;158.42166137695312
2024-08-19;160.5366668701172
2024-08-20;158.11166381835938
2024-08-21;159.58999633789062
2024-08-22;159.14833068847656
2024-08-23;162.42666625976562
2024-08-26;157.5050048828125
2024-08-27;158.80667114257812
2024-08-28;158.26333618164062
2024-08-29;156.90499877929688
2024-08-30;159.8816680908203
2024-09-03;149.83999633789062
2024-09-04;149.22833251953125
2024-09-05;146.56333923339844
2024-09-06;143.32666015625
2024-09-09;149.01499938964844
2024-09-10;148.45166015625
2024-09-11;151.5433349609375
2024-09-12;153.18833923339844
2024-09-13;155.84500122070312
2024-09-16;156.27999877929688
2024-09-17;155.10000610351562
2024-09-18;157.22999572753906
2024-09-19;152.11000061035156
2024-09-20;150.72999572753906
2024-09-23;154.2100067138672
2024-09-24;154.39999389648438
2024-09-25;154.5
2024-09-26;157.25999450683594
2024-09-27;159.4199981689453
2024-09-30;159.4499969482422
2024-10-01;155.6199951171875
2024-10-02;157.66000366210938
2024-10-03;156.7899932861328
2024-10-04;166.80999755859375
2024-10-07;158.8300018310547
2024-10-08;161.94000244140625
2024-10-09;160.44000244140625
2024-10-10;158.25999450683594
2024-10-11;161.25
2024-10-14;160.72999572753906
2024-10-15;161.85000610351562
2024-10-16;161.16000366210938
2024-10-17;160.30999755859375
2024-10-18;161.85000610351562
2024-10-21;160.00999450683594
2024-10-22;154.0500030517578
2024-10-23;150.9600067138672
2024-10-24;152.0399932861328
2024-10-25;168.11000061035156
2024-10-28;169.2899932861328
2024-10-29;169.5500030517578
2024-10-30;169.52000427246094
2024-10-31;160.88999938964844
2024-11-01;158.1199951171875
2024-11-04;162.25999450683594
2024-11-05;163.6699981689453
2024-11-06;164.77000427246094
2024-11-07;171.33999633789062
2024-11-08;175.61000061035156
2024-11-11;177.0800018310547
2024-11-12;177.6300048828125
2024-11-13;178.33999633789062
2024-11-14;176.86000061035156
2024-11-15;175.66000366210938
2024-11-18;176.4499969482422
2024-11-19;176.2899932861328
2024-11-20;176.36000061035156
2024-11-21;181.91000366210938
2024-11-22;192.14999389648438
2024-11-25;196.49000549316406
2024-11-26;194.41000366210938
2024-11-27;191.77000427246094
2024-11-29;195.9600067138672
2024-12-02;201.89999389648438
2024-12-03;202.8699951171875
2024-12-04;204.14999389648438
2024-12-05;200.9199981689453
2024-12-06;199.5500030517578
2024-12-09;201.5500030517578
2024-12-10;202.1199951171875
2024-12-11;204.9499969482422
2024-12-12;203.67999267578125
2024-12-13;206.6300048828125
2024-12-16;211.1199951171875
2024-12-17;210.3699951171875
2024-12-18;201.47999572753906
2024-12-19;205.27999877929688
2024-12-20;210.97000122070312
2024-12-23;207.64999389648438
2024-12-24;208.00999450683594
2024-12-26;209.42999267578125
2024-12-27;207.11000061035156
2024-12-30;205.75999450683594
2024-12-31;203.08999633789062
